Latitude,Longitude,year
33.656771,-85.824409,1997
33.284928,-85.803608,1997
34.690647,-87.821422,1997
34.762619,-87.638097,1997
31.477664,-86.963307,1997
32.408193,-87.017768,1997
34.456199,-85.707189,1997
34.289001,-85.970065,1997
32.498567,-86.136587,1997
32.583466,-85.93246,1997
31.106567,-87.071081,1997
34.015097,-86.012194,1997
34.015375,-86.012194,1997
34.511762,-87.718088,1997
31.118822,-86.157749,1997
31.228787,-85.375489,1997
34.877025,-85.720805,1997
34.677028,-86.014146,1997
33.3975,-86.955278,1997
33.553056,-86.815,1997
33.565104,-86.77999,1997
33.529444,-86.850278,1997
33.503717,-86.81249,1997
33.5275,-86.807778,1997
33.485556,-86.915,1997
33.331111,-87.003611,1997
33.545278,-86.549167,1997
33.499722,-86.924167,1997
33.386389,-86.816667,1997
33.704722,-86.669167,1997
33.578333,-86.773889,1997
33.565278,-86.796389,1997
34.342904,-87.33973,1997
34.589571,-87.109445,1997
34.828977,-86.975285,1997
34.788423,-86.616105,1997
34.728831,-86.585003,1997
34.620369,-86.566381,1997
34.687761,-86.586362,1997
32.503747,-87.834735,1997
30.76652,-88.075727,1997
30.770181,-88.087761,1997
30.668583,-88.219026,1997
30.699406,-88.047234,1997
30.720515,-88.058951,1997
30.958515,-88.028332,1997
30.658497,-88.036665,1997
30.698836,-88.181974,1997
32.42597,-86.285247,1997
32.412811,-86.263394,1997
34.605925,-86.981952,1997
31.790479,-85.978974,1997
31.792969,-85.980522,1997
32.472136,-85.005028,1997
33.109008,-86.753597,1997
33.317142,-86.825754,1997
32.36401,-88.201865,1997
33.27947,-86.349438,1997
33.436775,-86.100527,1997
33.217062,-87.538895,1997
33.832885,-87.272505,1997
61.195004,-149.904983,1997
61.205861,-149.824602,1997
61.158891,-149.947761,1997
61.203615,-149.869424,1997
61.193337,-149.868868,1997
61.113613,-149.877196,1997
61.21445,-149.725256,1997
61.3267,-149.569707,1997
63.7232,-148.9676,1997
64.844847,-147.723536,1997
64.840672,-147.722461,1997
64.840402,-147.72548,1997
64.832347,-147.733813,1997
64.837347,-147.718257,1997
58.388497,-134.567237,1997
58.389118,-134.577337,1997
31.3658,-109.73095,1997
